Genes,p_val,avg_logFC,pct.1,pct.2,p_val_adj
STAT1,0,0.899613596,0.853,0.359,0
CD2,0,0.860381981,0.293,0.049,0
GBP1,0,0.852365039,0.725,0.201,0
CXCL11,0,0.845933586,0.172,0.009,0
CTSL,3.18E-18,0.832446058,0.666,0.787,7.15E-14
HERC5,0,0.821719702,0.749,0.163,0
IFI27,1.56E-258,0.812030016,0.639,0.512,3.51E-254
H3F3B,0,0.811389346,0.996,0.873,0
SOCS1,0,0.810754756,0.495,0.023,0
CD8A,0,0.806144195,0.203,0.015,0
CCL18,0.017326855,0.803921484,0.286,0.348,1
HSPA8,0,0.79834524,0.965,0.733,0
MX2,0,0.797842835,0.68,0.118,0
XAF1,0,0.794588113,0.798,0.187,0
RNF213,0,0.793998914,0.849,0.392,0
PTPRCAP,0,0.791606813,0.296,0,0
PLSCR1,0,0.789564927,0.872,0.423,0
GIMAP7,0,0.788540894,0.348,0.059,0
IL1RN,0,0.777925231,0.481,0.149,0
CD69,0,0.776418086,0.441,0.053,0
SAT1,0,0.772074921,0.953,0.939,0
SAMD9,0,0.764585495,0.617,0.107,0
CMPK2,0,0.760331444,0.62,0.053,0
GIMAP4,0,0.756967537,0.626,0.189,0
LAP3,0,0.750709145,0.834,0.365,0
CD7,0,0.74808139,0.248,0.024,0
IFI35,0,0.744305186,0.794,0.254,0
PSMB9,0,0.742425932,0.917,0.487,0
IFIH1,0,0.741287085,0.633,0.1,0
RARRES3,0,0.734522514,0.545,0.188,0
FYB1,0,0.72794158,0.756,0.329,0
EPSTI1,0,0.727879276,0.788,0.284,0
NT5C3A,0,0.723947517,0.709,0.188,0
IFI16,0,0.720370931,0.827,0.36,0
NEXN,0,0.719077283,0.491,0.082,0
TNFSF13,0,0.71792088,0.459,0.024,0
PSMA6,0,0.715663524,0.768,0.242,0
LGMN,2.02E-189,0.710427902,0.236,0.105,4.54E-185
KLF6,0,0.708323941,0.84,0.446,0
BST2,0,0.704045263,0.926,0.599,0
TAP1,0,0.692093023,0.566,0.105,0
NUPR1,7.21E-21,0.688418825,0.669,0.818,1.62E-16
DDX58,0,0.687522704,0.515,0.037,0
RAC2,0,0.682247798,0.582,0.402,0
OAS3,0,0.67897682,0.599,0.087,0
PPIB,0,0.670619644,0.91,0.567,0
CCL4L2,1.46E-203,0.669322054,0.265,0.115,3.28E-199
TNFSF13B,0,0.66669217,0.676,0.322,0
MT-ND6,0,0.664915138,0.594,0.237,0
HLA-B,0,0.659984692,0.999,0.998,0
MDK,0,0.659269645,0.43,0.088,0
DYNLT1,0,0.659151281,0.858,0.428,0
SAMD9L,0,0.659038861,0.719,0.275,0
TRIM22,0,0.651259568,0.801,0.368,0
OAS2,0,0.643724047,0.701,0.181,0
CD48,0,0.640344098,0.391,0.092,0
GZMB,0,0.633817007,0.163,0.012,0
LIMD2,0,0.632763586,0.307,0.033,0
SP110,0,0.631438265,0.766,0.31,0
HLA-DQA2,0,0.629722704,0.526,0.217,0
MAFB,0,0.621121522,0.45,0.188,0
TUBB4B,4.89E-07,0.619480606,0.291,0.276,0.01097361
PARP14,0,0.614665098,0.754,0.292,0
PRF1,0,0.614121488,0.219,0.011,0
SHISA5,0,0.611442885,0.687,0.207,0
SP100,0,0.604636245,0.651,0.255,0
RAB8A,0,0.598697052,0.67,0.249,0
IRF1,0,0.597920806,0.604,0.205,0
GAPDH,0,0.596750236,0.984,0.93,0
CNBP,0,0.594557142,0.862,0.464,0
EIF2AK2,0,0.594405022,0.698,0.244,0
ZBP1,0,0.589407817,0.471,0.018,0
GBP5,0,0.584590545,0.351,0.046,0
ZFP36L2,0,0.575542348,0.73,0.45,0
UBC,0,0.574534697,0.964,0.834,0
CST7,0,0.5703894,0.248,0.027,0
NCF1,0,0.570120489,0.607,0.31,0
SDS,0,0.565545807,0.125,0.012,0
LAG3,0,0.560638777,0.284,0.01,0
PSMB8,0,0.560580804,0.854,0.434,0
C19orf66,0,0.559837998,0.496,0.076,0
HSPA5,0,0.558230568,0.656,0.386,0
LCP2,0,0.556133524,0.615,0.185,0
CD8B,0,0.554751906,0.184,0.012,0
PSMB10,0,0.549241067,0.729,0.287,0
USP18,0,0.547958597,0.434,0.032,0
MS4A6A,1.44E-142,0.547338457,0.442,0.348,3.23E-138
ADAR,0,0.546769007,0.719,0.292,0
SMCHD1,0,0.54496065,0.412,0.101,0
CDKN1A,0,0.540646064,0.411,0.182,0
ZNFX1,0,0.534074423,0.538,0.103,0
CLEC2D,0,0.533710375,0.269,0.029,0
CALR,0,0.531331214,0.827,0.613,0
CD68,3.28E-40,0.529650099,0.712,0.953,7.37E-36
IER2,0,0.527714242,0.449,0.146,0
ZFP36,0,0.524697509,0.572,0.278,0
MIF,0,0.524184624,0.907,0.534,0
IFI44,0,0.52282127,0.548,0.162,0
DEFB1,1.81E-260,0.52187887,0.364,0.186,4.06E-256
CD3D,4.07E-167,0.521690146,0.273,0.149,9.14E-163
RPL28,0,0.517958825,1,1,0
FN1,3.20E-11,0.513197503,0.542,0.595,7.18E-07
PNRC1,0,0.51090995,0.665,0.387,0
CLIC1,0,0.510219503,0.978,0.905,0
DRAP1,0,0.507191456,0.856,0.558,0
RPLP0,0,0.506808425,0.99,0.953,0
HIST1H4C,0,0.504379199,0.44,0.209,0
STK17A,0,0.504279841,0.338,0.06,0
GBP4,0,0.501046694,0.451,0.129,0
PARP9,0,0.497799462,0.603,0.183,0
NAPA,0,0.497791072,0.661,0.23,0
CCL3,9.63E-260,0.494936909,0.279,0.107,2.16E-255
TMEM176B,2.09E-301,0.494188271,0.312,0.132,4.69E-297
NMI,0,0.488306199,0.553,0.137,0
HLA-F,0,0.486171304,0.741,0.354,0
APOBEC3G,0,0.483411045,0.402,0.075,0
SYNGR2,0,0.478497435,0.749,0.582,0
FPR3,0,0.473798591,0.368,0.146,0
PDIA3,0,0.473106827,0.749,0.428,0
CD99,0,0.469015528,0.629,0.417,0
RPL30,0,0.465195348,0.998,0.998,0
RTP4,0,0.46505769,0.469,0.053,0
IL7R,8.25E-113,0.464258139,0.281,0.17,1.85E-108
WIPF1,0,0.463439432,0.514,0.233,0
CLEC2B,0,0.463347961,0.624,0.306,0
PPM1K,0,0.462535377,0.418,0.148,0
ELF1,0,0.460747145,0.558,0.273,0
COMT,4.54E-211,0.457401368,0.654,0.598,1.02E-206
VAMP5,0,0.454785371,0.482,0.155,0
PTPRC,0,0.452805038,0.887,0.736,0
SIGLEC1,0,0.451497994,0.434,0.165,0
KIAA1551,0,0.450715947,0.372,0.111,0
ARHGDIB,0,0.450646211,0.896,0.828,0
C3AR1,0,0.44356477,0.418,0.094,0
TMEM35B,0,0.441946955,0.433,0.003,0
TUBA1A,5.30E-66,0.440562135,0.395,0.309,1.19E-61
ARF1,0,0.439459458,0.796,0.419,0
IGFBP2,1.42E-84,0.438893986,0.276,0.186,3.18E-80
PPDPF,0,0.438048227,0.942,0.824,0
MT1F,3.50E-262,0.437854961,0.236,0.079,7.86E-258
BTG1,8.23E-106,0.43246751,0.617,0.538,1.85E-101
TRBC2,0,0.430447437,0.24,0.036,0
HSH2D,0,0.430310972,0.349,0.008,0
MT1X,5.13E-153,0.428124262,0.225,0.099,1.15E-148
DTX3L,0,0.427443049,0.473,0.128,0
TPM3,0,0.425617113,0.897,0.666,0
CD38,0,0.424906034,0.236,0.009,0
DDX60L,0,0.424645916,0.525,0.205,0
LCK,0,0.423797482,0.239,0.019,0
CHST12,0,0.420538491,0.369,0.118,0
AC116366.3,0,0.418887565,0.342,0.005,0
MYL12A,0,0.4187095,0.976,0.951,0
ITGA4,0,0.413991254,0.25,0.032,0
LTB,4.45E-49,0.412051629,0.183,0.123,9.99E-45
CNN2,0,0.411559609,0.405,0.162,0
CTSW,1.77E-155,0.411312818,0.297,0.168,3.98E-151
SYNE2,0,0.410892286,0.228,0.015,0
TPM4,0,0.409280755,0.582,0.298,0
SUB1,2.13E-265,0.408550878,0.761,0.601,4.79E-261
GZMK,0,0.407575155,0.107,0.006,0
IL4I1,0,0.405953841,0.238,0.03,0
MYD88,0,0.405924175,0.566,0.238,0
OPTN,0,0.40517201,0.414,0.084,0
LGALS9,0,0.402889544,0.772,0.534,0
CALM1,0,0.401371026,0.928,0.811,0
CD3G,0,0.401022716,0.234,0.055,0
IL10RA,0,0.401008225,0.417,0.099,0
EWSR1,0,0.400679846,0.541,0.171,0
DAZAP2,0,0.400642624,0.785,0.439,0
ACTB,0,0.400374453,0.999,1,0
XCL1,0,0.399898639,0.104,0.005,0
GNG5,0,0.399610004,0.929,0.79,0
EZR,2.17E-187,0.399599276,0.318,0.17,4.87E-183
NFKBIA,2.42E-225,0.398190659,0.444,0.259,5.43E-221
TYMP,3.13E-260,0.397786763,0.89,0.804,7.03E-256
HNRNPA2B1,0,0.396693199,0.932,0.713,0
PSME1,0,0.396644274,0.921,0.704,0
JAK1,0,0.395271696,0.471,0.228,0
GRINA,0,0.393823753,0.699,0.572,0
TMEM176A,0,0.391702422,0.264,0.079,0
RPS21,0,0.388993447,0.995,0.992,0
HCLS1,0,0.387961613,0.644,0.385,0
LILRB4,6.08E-280,0.386383197,0.315,0.138,1.37E-275
HMGN2,0,0.385213002,0.911,0.849,0
PSME2,0,0.384344885,0.92,0.739,0
ACTG1,2.09E-151,0.382138345,0.946,0.921,4.70E-147
GADD45B,0,0.380480991,0.331,0.127,0
ZFP36L1,1.79E-251,0.378389183,0.415,0.226,4.03E-247
RBCK1,0,0.376356602,0.47,0.157,0
TENT5A,0,0.376245957,0.467,0.219,0
HAVCR2,0,0.375509056,0.404,0.143,0
SOD2,7.55E-238,0.375276447,0.471,0.266,1.69E-233
PILRA,1.82E-87,0.372069451,0.485,0.487,4.10E-83
CTSB,8.76E-23,0.371611206,0.769,0.926,1.97E-18
NCOA7,0,0.370814412,0.444,0.165,0
CD163,3.09E-85,0.367309128,0.543,0.49,6.95E-81
PML,0,0.367190199,0.392,0.072,0
SLFN5,0,0.366712601,0.289,0.081,0
PARP10,0,0.366381562,0.407,0.095,0
DDX60,0,0.364820937,0.339,0.073,0
KLRD1,0,0.363264778,0.137,0.013,0
COX5A,0,0.363009103,0.784,0.533,0
TRAF3IP3,0,0.361839543,0.235,0.026,0
USP15,0,0.361396564,0.489,0.193,0
RABGAP1L,0,0.358359441,0.445,0.132,0
ATF5,0,0.356373776,0.24,0.046,0
PFN1,0,0.354912924,0.988,0.99,0
SPOCK2,0,0.353974671,0.197,0.011,0
XRN1,0,0.353270995,0.377,0.097,0
LCP1,0,0.351876879,0.843,0.655,0
CD247,0,0.351509239,0.219,0.012,0
CD96,0,0.350441288,0.211,0.013,0
TRIM21,0,0.350119765,0.392,0.065,0
APOL6,0,0.350116039,0.611,0.354,0
PARP12,0,0.34683221,0.42,0.125,0
SELL,0,0.346619295,0.174,0.007,0
GZMH,0,0.345384689,0.13,0.008,0
HELZ2,0,0.345278302,0.315,0.026,0
PHF11,0,0.343635445,0.414,0.145,0
PLD3,3.75E-16,0.34347543,0.605,0.661,8.42E-12
TRANK1,0,0.343444651,0.279,0.029,0
NUB1,0,0.341906835,0.415,0.17,0
CCDC85B,0,0.341442492,0.542,0.305,0
GTF2B,0,0.339628736,0.437,0.151,0
SARAF,0,0.338801773,0.923,0.764,0
ZNF683,0,0.337607666,0.133,0.009,0
GMPR,0,0.337225212,0.352,0.064,0
CYTIP,0,0.337190103,0.348,0.127,0
HSP90B1,2.78E-184,0.335908945,0.789,0.678,6.24E-180
PCBP1,0,0.334757881,0.807,0.614,0
HSP90AB1,5.86E-211,0.334637699,0.895,0.82,1.32E-206
NUCB2,1.37E-43,0.333851631,0.184,0.124,3.09E-39
LYN,0,0.333056931,0.478,0.256,0
GNB2,0,0.332403511,0.772,0.485,0
GOLGA4,0,0.331346939,0.433,0.163,0
TRAC,0,0.329899801,0.222,0.046,0
GPBP1,0,0.329896488,0.447,0.22,0
PDE4DIP,0,0.329880931,0.465,0.251,0
AES,0,0.329593039,0.477,0.257,0
IK,4.29E-221,0.327841165,0.445,0.259,9.63E-217
PIM3,0,0.327654926,0.292,0.059,0
PRR13,0,0.327137438,0.885,0.719,0
CXCR6,0,0.326589486,0.141,0.01,0
STK17B,5.85E-285,0.326228495,0.362,0.167,1.31E-280
EMB,0,0.326160545,0.243,0.03,0
MT1E,6.41E-77,0.32599093,0.151,0.077,1.44E-72
WARS,2.34E-216,0.325578917,0.465,0.282,5.26E-212
IDH2,0,0.324959142,0.299,0.072,0
TOMM5,0,0.324096164,0.552,0.26,0
LSP1,3.64E-135,0.322003,0.707,0.628,8.17E-131
SLC9A3R1,0,0.321576626,0.286,0.09,0
RHOA,0,0.321280763,0.945,0.838,0
IRF2,0,0.320843663,0.471,0.197,0
ZYX,0,0.320668885,0.593,0.372,0
SQSTM1,1.37E-264,0.319299381,0.72,0.52,3.09E-260
ANXA6,0,0.319011705,0.237,0.032,0
HNRNPA1,9.49E-245,0.318760313,0.862,0.723,2.13E-240
PARP8,0,0.31831398,0.265,0.064,0
CFLAR,0,0.317946381,0.465,0.24,0
RNASEK,0,0.317882046,0.404,0.095,0
STAT2,0,0.317685937,0.408,0.161,0
1-Sep,0,0.317521507,0.224,0.038,0
SF3B2,0,0.317352429,0.517,0.248,0
TMEM123,0,0.315873814,0.661,0.391,0
GABARAP,0,0.315606428,0.935,0.847,0
LAPTM5,0,0.314802218,0.924,0.949,0
DEK,0,0.314165131,0.681,0.395,0
CASP1,0,0.312865362,0.627,0.42,0
ARF5,0,0.312728524,0.47,0.178,0
SSB,0,0.31231211,0.682,0.481,0
TRAFD1,0,0.310049513,0.314,0.064,0
LBH,0,0.309593838,0.204,0.011,0
ARHGEF3,0,0.30919815,0.308,0.074,0
LPIN2,0,0.307812408,0.359,0.117,0
CXCR3,0,0.305748584,0.187,0.01,0
MYH9,1.84E-183,0.305561362,0.482,0.325,4.12E-179
HOPX,0,0.305112379,0.162,0.019,0
DENND2D,0,0.304467546,0.401,0.15,0
RTCB,0,0.303872091,0.418,0.154,0
CCR1,0,0.30372135,0.357,0.141,0
SP140,0,0.303712279,0.316,0.081,0
NBPF14,0,0.303294206,0.297,0.058,0
TMEM140,0,0.30221903,0.361,0.085,0
PLEK,3.23E-145,0.302201096,0.554,0.414,7.24E-141
PNPT1,0,0.301951941,0.323,0.067,0
KLRC1,5.02E-236,0.301664042,0.111,0.015,1.13E-231
C12orf75,0,0.301581426,0.184,0.02,0
UTRN,0,0.301131222,0.336,0.1,0
RNASET2,2.91E-164,0.300400982,0.69,0.626,6.53E-160
BAZ1A,0,0.300259565,0.418,0.195,0
HNRNPF,1.50E-232,0.298293674,0.544,0.367,3.37E-228
WAS,0,0.297731289,0.466,0.203,0
PNRC2,0,0.297685572,0.446,0.183,0
BCL2A1,3.62E-80,0.296949045,0.615,0.565,8.14E-76
PAXX,1.71E-285,0.295989051,0.374,0.177,3.84E-281
BRD2,0,0.295975328,0.41,0.169,0
PGAM1,0,0.295152377,0.572,0.339,0
STAT3,0,0.294987657,0.441,0.179,0
GRB2,7.11E-254,0.294436062,0.735,0.584,1.60E-249
IL2RB,0,0.294231651,0.175,0.01,0
DNAJA1,0,0.294024387,0.838,0.66,0
LYSMD2,0,0.293736244,0.459,0.196,0
AC004687.1,1.99E-245,0.292984256,0.33,0.154,4.47E-241
ARL4C,0,0.292517599,0.24,0.048,0
PSMA5,0,0.29123035,0.518,0.283,0
GNG10,0,0.289708912,0.39,0.161,0
MAN2B1,0,0.289035823,0.313,0.051,0
ATOX1,1.87E-87,0.288780412,0.713,0.705,4.21E-83
MARCKS,9.64E-126,0.288313815,0.218,0.108,2.16E-121
GCH1,0,0.285906191,0.233,0.02,0
CCL3L1,2.23E-160,0.285819547,0.167,0.059,5.01E-156
TNFAIP8,6.62E-253,0.285764339,0.312,0.139,1.49E-248
RPN1,0,0.285515972,0.502,0.241,0
DDOST,0,0.285315469,0.446,0.178,0
ODF3B,2.70E-82,0.284419058,0.238,0.145,6.07E-78
BTN3A2,0,0.283994836,0.356,0.127,0
9-Sep,0,0.28390934,0.446,0.225,0
AL138963.3,0,0.283178528,0.177,0,0
RPL37,1.66E-276,0.283161305,0.999,0.999,3.74E-272
CD82,0,0.283020889,0.375,0.13,0
RHOH,0,0.282022804,0.229,0.021,0
SYNE1,0,0.281302927,0.193,0.013,0
NR3C1,0,0.281051334,0.521,0.282,0
APBB1IP,0,0.280727876,0.418,0.194,0
MGAT1,5.23E-307,0.280494692,0.588,0.356,1.17E-302
NR1H2,0,0.280362808,0.439,0.169,0
STOM,3.46E-270,0.279840776,0.575,0.368,7.76E-266
CAST,0,0.278527788,0.779,0.563,0
BIRC3,1.06E-251,0.278511867,0.132,0.022,2.38E-247
SEM1,0,0.278367488,0.84,0.589,0
PPP1R18,6.58E-222,0.27796403,0.371,0.199,1.48E-217
SNX1,0,0.277543652,0.382,0.122,0
OTUB1,0,0.277278405,0.512,0.238,0
TAGAP,0,0.277228621,0.22,0.025,0
LILRB1,0,0.276701626,0.309,0.113,0
ARHGEF1,0,0.276356719,0.272,0.086,0
FASLG,0,0.276158466,0.153,0.003,0
GNPTG,0,0.276069973,0.45,0.202,0
PRRC2C,1.17E-252,0.275929739,0.606,0.41,2.63E-248
CREM,4.04E-293,0.275319203,0.205,0.054,9.07E-289
MCL1,1.48E-255,0.275305225,0.685,0.462,3.33E-251
RGS10,1.68E-231,0.274173969,0.557,0.367,3.76E-227
HSBP1,1.82E-250,0.273531183,0.696,0.495,4.08E-246
CBR1,1.30E-278,0.273397898,0.425,0.224,2.91E-274
PCM1,1.25E-218,0.271853161,0.387,0.209,2.80E-214
RUNX3,0,0.271421458,0.205,0.031,0
6-Sep,2.84E-272,0.271069032,0.322,0.139,6.37E-268
KMT2E,7.69E-243,0.269979322,0.395,0.209,1.73E-238
ACAP1,0,0.269902043,0.222,0.035,0
PLP2,3.08E-149,0.268770987,0.377,0.236,6.92E-145
ARHGAP25,0,0.268501778,0.356,0.097,0
TPR,0,0.268247463,0.436,0.207,0
ZC3HAV1,0,0.267929738,0.345,0.129,0
SH2D2A,0,0.267535029,0.17,0.009,0
HNRNPDL,5.41E-308,0.267119545,0.685,0.45,1.21E-303
HM13,7.15E-256,0.266893286,0.329,0.15,1.61E-251
SERPING1,0.025472451,0.266657818,0.653,0.81,1
FKBP8,0,0.266544357,0.567,0.326,0
RGS1,3.20E-165,0.26626872,0.183,0.068,7.19E-161
ODF2L,1.15E-265,0.265916952,0.229,0.075,2.58E-261
ETV6,0,0.265681353,0.301,0.091,0
DBNDD2,0,0.265150313,0.258,0.001,0
GSTK1,1.27E-207,0.264751942,0.741,0.582,2.85E-203
SLAMF7,0,0.264405368,0.16,0.01,0
RIPOR2,0,0.264393733,0.189,0.022,0
LINC00861,0,0.263817483,0.146,0.008,0
IKZF3,0,0.262515983,0.175,0.016,0
C15orf48,1.34E-16,0.261599197,0.345,0.301,3.00E-12
OGFR,0,0.260565671,0.43,0.196,0
CES1,1.02E-05,0.260253922,0.466,0.637,0.229351607
ABI3,5.22E-302,0.260050252,0.361,0.158,1.17E-297
USP30-AS1,0,0.259839579,0.384,0.171,0
LINC01871,0,0.25923478,0.152,0.02,0
NGRN,0,0.259125743,0.305,0.059,0
DDIT4,1.53E-250,0.258802935,0.16,0.037,3.45E-246
SKAP1,0,0.257745638,0.199,0.03,0
SCML4,0,0.257506633,0.173,0.008,0
RNF130,1.08E-114,0.255789799,0.597,0.528,2.43E-110
RPL7A,2.47E-127,0.25544926,0.991,0.985,5.54E-123
ARHGAP9,0,0.254842576,0.266,0.062,0
TAPBP,1.37E-231,0.254391191,0.683,0.486,3.08E-227
KRTCAP2,0,0.253922895,0.764,0.522,0
IFIT5,0,0.253802225,0.293,0.089,0
PIM1,2.77E-173,0.253701371,0.231,0.102,6.22E-169
GBP2,1.97E-184,0.25338618,0.342,0.186,4.41E-180
GOLGB1,0,0.253326612,0.347,0.133,0
AL133415.1,0,0.252150696,0.183,0,0
ICAM3,0,0.252081492,0.23,0.062,0
CAPZB,4.65E-226,0.251824207,0.665,0.476,1.05E-221
SERPINB1,1.79E-201,0.251714225,0.705,0.526,4.02E-197
SNX6,9.63E-239,0.25073031,0.492,0.298,2.16E-234
CXorf21,0,0.250435404,0.232,0.055,0
PNPLA6,5.97E-261,-0.250973852,0.278,0.522,1.34E-256
FAM89A,0,-0.251151987,0.092,0.322,0
ATP1B3,5.15E-277,-0.251629403,0.253,0.483,1.16E-272
IGF1,2.63E-260,-0.252655418,0.03,0.193,5.92E-256
MYL6,1.15E-282,-0.253013883,0.993,0.998,2.59E-278
SNRPB2,2.40E-231,-0.253691792,0.41,0.596,5.39E-227
RPS27L,3.33E-239,-0.254010769,0.783,0.927,7.49E-235
ATP5MG,0,-0.255954051,0.96,0.975,0
ASAH1,6.73E-303,-0.256543271,0.678,0.904,1.51E-298
RPL13,0,-0.256676036,0.998,1,0
TNNI2,0,-0.257457555,0.162,0.401,0
CAPNS1,5.02E-306,-0.2585856,0.221,0.459,1.13E-301
VAPA,2.62E-234,-0.258895172,0.486,0.653,5.89E-230
DSTN,0,-0.258944164,0.296,0.587,0
ACTR2,4.04E-214,-0.260138435,0.559,0.698,9.07E-210
LAMTOR4,9.74E-261,-0.261383091,0.677,0.789,2.19E-256
RPS8,0,-0.26149686,0.997,0.999,0
MCEMP1,0,-0.262889515,0.313,0.782,0
MRPL23,0,-0.264184901,0.072,0.329,0
DYNC1I2,0,-0.266471485,0.211,0.451,0
HIGD1A,0,-0.267255365,0.05,0.313,0
CPE,0,-0.267780931,0.062,0.306,0
EFHD2,2.39E-261,-0.268323188,0.301,0.517,5.37E-257
ALOX5,0,-0.26890633,0.412,0.731,0
RGCC,8.75E-280,-0.271472366,0.393,0.636,1.97E-275
AP2S1,3.14E-282,-0.271495606,0.678,0.811,7.05E-278
TOMM7,0,-0.27284216,0.88,0.934,0
EIF2S2,1.22E-242,-0.273602268,0.562,0.702,2.75E-238
RPS19,0,-0.275246336,0.998,1,0
LAMTOR5,2.83E-265,-0.275884988,0.483,0.66,6.35E-261
RPS5,0,-0.277875966,0.977,0.993,0
CFD,5.40E-274,-0.278049296,0.518,0.771,1.21E-269
CD44,3.03E-271,-0.281056359,0.741,0.862,6.81E-267
STMN1,0,-0.281369049,0.29,0.583,0
C1QB,6.87E-270,-0.283077285,0.656,0.972,1.54E-265
UQCRH,0,-0.284009802,0.764,0.86,0
RPL10A,0,-0.284560192,0.928,0.986,0
COX7C,0,-0.287567104,0.961,0.976,0
RTN4,9.21E-289,-0.287798898,0.671,0.794,2.07E-284
NDUFA7,0,-0.287854296,0.102,0.373,0
PCBP2,0,-0.288783747,0.515,0.714,0
PHLDA3,0,-0.288962011,0.189,0.462,0
C9orf16,8.34E-303,-0.290303062,0.595,0.766,1.87E-298
GPD1,0,-0.290968546,0.111,0.378,0
EIF1,0,-0.291626568,0.993,0.998,0
BHLHE41,0,-0.292923191,0.194,0.455,0
APOC2,9.91E-89,-0.293053858,0.117,0.224,2.23E-84
RPL39,0,-0.293168747,0.998,1,0
CHMP4A,0,-0.295013761,0.078,0.37,0
CPEB4,0,-0.295715641,0.114,0.382,0
TCF7L2,0,-0.300437623,0.255,0.505,0
AXL,0,-0.304430145,0.295,0.542,0
C6orf48,0,-0.305531221,0.16,0.428,0
TGOLN2,0,-0.306513272,0.4,0.619,0
HSD17B11,0,-0.307812717,0.344,0.586,0
TBCA,0,-0.311246181,0.655,0.786,0
GPNMB,0,-0.313120718,0.583,0.851,0
RPL22,0,-0.314439694,0.978,0.994,0
YBX1,0,-0.316560927,0.94,0.987,0
RPS27A,0,-0.317599484,0.994,0.999,0
RPS26,0,-0.322623554,0.967,0.944,0
NEDD8,0,-0.322939199,0.676,0.824,0
RPL23A,0,-0.325240845,0.987,0.998,0
IFI27L2,0,-0.326900873,0.252,0.544,0
LGALS3,0,-0.326938258,0.829,0.985,0
CYBA,0,-0.328018509,0.98,0.999,0
RPL3,0,-0.329753868,0.966,0.995,0
HEXA,0,-0.330120046,0.315,0.597,0
TKT,0,-0.330438211,0.552,0.771,0
FCGRT,0,-0.331369676,0.647,0.917,0
CSNK2B,0,-0.3335913,0.153,0.475,0
ATP5ME,0,-0.334336358,0.776,0.885,0
CD302,0,-0.335826788,0.232,0.535,0
ATP6AP2,0,-0.338043574,0.374,0.621,0
NAP1L1,0,-0.338836051,0.494,0.742,0
CHP1,0,-0.345442412,0.102,0.428,0
CSTB,0,-0.352467155,0.888,0.99,0
UQCRQ,0,-0.352797659,0.713,0.805,0
ATP5F1E,0,-0.355722364,0.997,0.999,0
C1orf56,0,-0.357546402,0.007,0.265,0
LAMP2,0,-0.35802834,0.405,0.675,0
PSMA1,0,-0.358269963,0.165,0.5,0
ESRRA,0,-0.360398103,0.038,0.359,0
HLA-DPA1,0,-0.361731692,0.897,0.994,0
S100A6,0,-0.366230831,0.979,1,0
PFDN5,0,-0.366633103,0.983,0.997,0
PET100,0,-0.367264994,0.527,0.747,0
COPS9,0,-0.369829738,0.384,0.665,0
TREM1,0,-0.370471613,0.383,0.751,0
FOS,1.89E-11,-0.371081462,0.397,0.407,4.24E-07
NDUFA4,0,-0.379049601,0.896,0.954,0
OLR1,0,-0.381285001,0.538,0.861,0
GSTO1,0,-0.382939226,0.676,0.898,0
ACP5,0,-0.38439355,0.69,0.949,0
S100A13,0,-0.386386483,0.317,0.615,0
VKORC1,0,-0.387702542,0.05,0.423,0
ARPC4,0,-0.389546102,0.13,0.483,0
CTSZ,0,-0.391028173,0.595,0.856,0
AIF1,0,-0.392211549,0.673,0.959,0
SDCBP,0,-0.395101802,0.709,0.926,0
