Genes,p_val,avg_logFC,pct.1,pct.2,p_val_adj
SRGN,0,0.855875293,0.957,0.939,0
MARCKS,0,0.85282173,0.589,0.146,0
WARS,0,0.851371069,0.779,0.345,0
MT-ND4L,0,0.836242975,0.965,0.606,0
IDO1,0,0.83486086,0.355,0.021,0
NEAT1,0,0.818956696,0.969,0.853,0
TNFSF10,0,0.816038309,0.847,0.377,0
IER3,0,0.813873938,0.426,0.06,0
S100A12,0,0.813143963,0.225,0.002,0
FOS,0,0.793916408,0.849,0.404,0
RNF213,0,0.792809756,0.908,0.549,0
IFI30,0,0.792707782,0.843,0.599,0
EMP1,0,0.791149173,0.44,0.042,0
DNAJB1,0,0.781917736,0.285,0.139,0
HSPA6,0,0.781286241,0.147,0.03,0
TNFSF13B,0,0.776039486,0.796,0.443,0
S100A9,5.15E-17,0.762908453,0.811,0.83,1.16E-12
CCR1,0,0.758971615,0.633,0.215,0
HMOX1,0,0.755965692,0.627,0.407,0
HES4,0,0.743134458,0.355,0.021,0
MTRNR2L12,0,0.741862269,0.747,0.322,0
DUSP6,0,0.73621038,0.43,0.113,0
MX1,0,0.732063713,0.935,0.475,0
LYN,0,0.726318051,0.748,0.332,0
GBP5,0,0.722085003,0.538,0.15,0
TPM4,0,0.718648673,0.837,0.395,0
PPP1R15A,0,0.718252479,0.592,0.2,0
CALHM6,0,0.70941116,0.417,0.098,0
G0S2,0,0.706181725,0.187,0.008,0
GAPDH,0,0.702628122,0.993,0.949,0
RNASE1,0,0.697672073,0.282,0.035,0
IFIT1,0,0.689658095,0.851,0.416,0
DEFB1,0,0.683462769,0.493,0.247,0
MX2,0,0.681315116,0.783,0.311,0
FCN1,0,0.675524581,0.389,0.101,0
IFIT2,0,0.662527012,0.843,0.442,0
SQSTM1,0,0.65746885,0.828,0.589,0
GNG5,0,0.655202755,0.976,0.838,0
PLAUR,0,0.650886683,0.798,0.621,0
NCF1,0,0.648611921,0.72,0.412,0
DUSP1,0,0.648552152,0.861,0.397,0
HSPA1B,5.17E-249,0.640516772,0.218,0.119,1.16E-244
LGMN,0,0.636091567,0.347,0.15,0
MT-ATP8,0,0.635315885,0.913,0.392,0
TAP1,0,0.634285744,0.797,0.263,0
HIF1A,0,0.628481611,0.526,0.176,0
GBP4,0,0.625578472,0.599,0.239,0
JUN,0,0.623708689,0.828,0.48,0
IRF7,0,0.623432837,0.86,0.389,0
IER2,0,0.614798714,0.612,0.25,0
TXN,0,0.613773034,0.955,0.893,0
ATP6V0C,0,0.610794458,0.851,0.305,0
CXCL11,0,0.608013948,0.288,0.065,0
FNIP2,0,0.601893901,0.441,0.098,0
GCH1,0,0.600462966,0.436,0.093,0
CDKN1A,0,0.59562627,0.703,0.26,0
ATF3,0,0.592679678,0.382,0.071,0
ACSL1,0,0.582011761,0.458,0.205,0
HERC5,0,0.580757944,0.716,0.364,0
TNFAIP3,0,0.579070066,0.45,0.128,0
SLC25A37,0,0.57842431,0.357,0.059,0
S100A10,0,0.577132522,0.972,0.962,0
IL1R2,0,0.566735633,0.275,0.005,0
PLSCR1,0,0.563319113,0.887,0.577,0
EPSTI1,0,0.561482111,0.84,0.456,0
ATP6V1G1,0,0.559729956,0.914,0.741,0
FOSB,0,0.547592731,0.346,0.036,0
SLAMF7,0,0.544586329,0.35,0.061,0
MXD1,0,0.544572165,0.338,0.044,0
GADD45B,0,0.543947434,0.447,0.196,0
PSMB9,0,0.543041018,0.903,0.634,0
JUNB,0,0.541990008,0.803,0.42,0
PTPRE,0,0.540866691,0.428,0.163,0
CALM1,0,0.539533762,0.968,0.851,0
HSP90AA1,0,0.532212313,0.964,0.941,0
AC015912.3,0,0.524528512,0.32,0.021,0
CXCL2,0,0.518668781,0.249,0.054,0
CYP1B1,0,0.516550676,0.187,0.005,0
MGAT1,0,0.514324649,0.753,0.436,0
EMP3,0,0.513133924,0.895,0.796,0
SDS,0,0.509439541,0.288,0.051,0
RGL1,0,0.508658949,0.381,0.039,0
UBE2L6,0,0.508628771,0.876,0.496,0
HSPB1,0.002295547,0.505212342,0.746,0.759,1
IRF1,0,0.504058189,0.669,0.342,0
CD300E,0,0.502288725,0.298,0.023,0
DDX60L,0,0.501809217,0.602,0.315,0
LCP2,0,0.500011568,0.639,0.332,0
B4GALT5,0,0.499082173,0.413,0.091,0
PIM3,0,0.496575153,0.442,0.139,0
ATF5,0,0.496279777,0.395,0.112,0
UBC,0,0.495229523,0.969,0.879,0
CCRL2,0,0.487305381,0.375,0.148,0
LHFPL2,0,0.486621563,0.407,0.115,0
PHLDA2,0,0.482489614,0.319,0.049,0
ACTB,0,0.480147267,0.998,0.999,0
IFI44L,0,0.479600554,0.807,0.409,0
LAP3,0,0.477332392,0.859,0.525,0
HAMP,0,0.469928966,0.151,0.03,0
PLA2G7,0,0.466780173,0.325,0.049,0
STAT1,0,0.46640341,0.868,0.528,0
ANKRD22,0,0.466141743,0.319,0.029,0
TNFAIP6,0,0.464814025,0.233,0.05,0
NAPA,0,0.464580026,0.718,0.377,0
DYNLT1,0,0.464335847,0.845,0.575,0
GLUL,0,0.46107359,0.892,0.86,0
AQP9,0,0.460386004,0.426,0.175,0
CD163,0,0.456544468,0.699,0.508,0
LILRB4,0,0.450668567,0.438,0.199,0
ELOC,0,0.44936597,0.739,0.434,0
TLR2,0,0.449125371,0.339,0.046,0
CFLAR,0,0.447876117,0.619,0.317,0
FLOT1,0,0.44709698,0.503,0.251,0
XAF1,0,0.444695072,0.766,0.396,0
BAZ1A,0,0.444016322,0.513,0.271,0
CREM,0,0.443807486,0.378,0.106,0
SUB1,0,0.442455331,0.881,0.655,0
KLF2,0,0.438330054,0.336,0.086,0
FCGR3B,0,0.437876175,0.156,0.038,0
SH3BGRL3,0,0.436141331,0.981,0.985,0
UPP1,0,0.434115751,0.714,0.463,0
HSP90B1,1.14E-65,0.433967298,0.757,0.716,2.56E-61
DEK,0,0.432694652,0.771,0.493,0
GBP2,0,0.432386721,0.477,0.24,0
ZFP36L1,0,0.429277988,0.483,0.29,0
SMCHD1,0,0.428018589,0.493,0.207,0
MCL1,0,0.426335668,0.841,0.538,0
TAGAP,0,0.425856131,0.357,0.092,0
LITAF,0,0.425385174,0.815,0.764,0
GK,0,0.424732381,0.424,0.212,0
IFIH1,0,0.422080734,0.574,0.283,0
SOCS3,0,0.420431387,0.322,0.056,0
NME2,0,0.418717253,0.771,0.359,0
VCAN,0,0.417607448,0.239,0.055,0
HMGA1,0,0.416482764,0.427,0.167,0
CEBPD,0,0.415862263,0.375,0.16,0
HLA-E,0,0.413914671,0.981,0.882,0
SPHK1,0,0.408749741,0.324,0.023,0
MT-CO2,0,0.40667252,0.999,0.998,0
LIMS1,0,0.406174633,0.468,0.265,0
HSPE1,0,0.405645281,0.702,0.573,0
MIF,0,0.404056581,0.865,0.662,0
OAS3,0,0.400600857,0.55,0.262,0
CLU,0,0.39913891,0.285,0.025,0
KLF4,0,0.393281993,0.343,0.134,0
OAS2,0,0.392805669,0.668,0.359,0
STAT2,0,0.391122588,0.475,0.246,0
FYB1,0,0.389957812,0.763,0.475,0
DDX58,0,0.389493925,0.451,0.201,0
SAMD9L,0,0.388254913,0.718,0.427,0
ICAM1,0,0.387715876,0.32,0.07,0
IFI35,0,0.387598076,0.77,0.439,0
HSPH1,2.19E-102,0.386792996,0.302,0.249,4.92E-98
IFNGR2,0,0.386231576,0.41,0.242,0
ANXA1,3.81E-159,0.384774601,0.878,0.861,8.55E-155
HIST2H2AA4,0,0.382434361,0.232,0.027,0
SLC39A8,0,0.382256613,0.243,0.037,0
FPR1,0,0.380300049,0.384,0.267,0
PIM1,0,0.378222607,0.365,0.146,0
RNF19B,0,0.376211745,0.319,0.073,0
HPSE,0,0.375208558,0.275,0.044,0
PARP14,0,0.374899759,0.741,0.45,0
CD48,0,0.374596194,0.49,0.195,0
LILRB2,0,0.374438327,0.34,0.106,0
RALA,0,0.37333571,0.356,0.11,0
IL4I1,0,0.371886445,0.341,0.101,0
CD83,0,0.370428319,0.405,0.262,0
CYSTM1,0,0.369315683,0.456,0.268,0
RARRES3,0,0.369151946,0.605,0.311,0
PNRC1,0,0.368051812,0.678,0.482,0
ACTG1,0,0.367038715,0.964,0.929,0
DRAM1,0,0.365180948,0.343,0.15,0
CCNL1,0,0.362356335,0.537,0.349,0
SAMSN1,0,0.36195451,0.38,0.171,0
IFI16,0,0.361764413,0.796,0.52,0
SLC2A3,0,0.359618477,0.35,0.135,0
FGR,0,0.359458492,0.427,0.285,0
MPP1,0,0.359110722,0.417,0.223,0
ADM,0,0.358662444,0.228,0.011,0
RAB5IF,0,0.358222732,0.707,0.465,0
FFAR2,0,0.357366877,0.191,0.012,0
ARF6,0,0.355359937,0.653,0.424,0
TSC22D3,0,0.355259214,0.513,0.317,0
CMPK2,0,0.354858419,0.491,0.247,0
SCARB2,0,0.354584052,0.65,0.421,0
PCBP1,0,0.353381211,0.875,0.68,0
HAVCR2,0,0.352676654,0.432,0.232,0
HLA-B,0,0.351644224,1,0.998,0
GABARAP,0,0.349900199,0.951,0.877,0
MT-ND6,0,0.348509802,0.538,0.359,0
CSF2RB,0,0.345341514,0.318,0.134,0
TCIRG1,0,0.34510404,0.505,0.316,0
IFI44,0,0.344333766,0.518,0.295,0
LILRA5,0,0.34428221,0.277,0.085,0
TMSB10,0,0.343611491,1,0.999,0
APOL6,0,0.343193148,0.678,0.442,0
CD55,0,0.341174574,0.336,0.191,0
CXCL9,0,0.340788786,0.13,0.035,0
MAP1LC3B,0,0.340625508,0.67,0.478,0
SSB,0,0.340327683,0.744,0.55,0
RPS26,0,0.340179667,0.98,0.952,0
PPIF,0,0.339798361,0.28,0.109,0
PLEKHO1,0,0.335938293,0.336,0.108,0
PLAU,3.41E-159,0.33579014,0.158,0.089,7.66E-155
FNDC3B,0,0.335254374,0.431,0.268,0
ATP6V1B2,0,0.335160913,0.673,0.495,0
HCAR3,4.23E-67,0.334552601,0.105,0.069,9.51E-63
CLEC4E,0,0.334293189,0.233,0.075,0
CD38,0,0.332126761,0.335,0.087,0
EZR,0,0.33034678,0.401,0.221,0
SLC38A2,0,0.328835063,0.357,0.142,0
UBE2D3,0,0.328807795,0.865,0.689,0
RIPK2,0,0.328776492,0.308,0.086,0
HSPA5,0,0.327980238,0.65,0.478,0
OPTN,0,0.324105184,0.417,0.197,0
ELF1,0,0.322794517,0.559,0.37,0
MMP19,0,0.322277051,0.213,0.068,0
MTHFD2,0,0.321223211,0.381,0.175,0
ARL8B,0,0.321118045,0.425,0.247,0
H3F3A,5.59E-216,0.321106792,0.975,0.984,1.26E-211
RAB20,0,0.320397431,0.336,0.146,0
INSIG1,0,0.318697858,0.227,0.083,0
CSF3R,0,0.31862437,0.263,0.127,0
ZEB2,0,0.318490674,0.685,0.517,0
CD47,0,0.318452861,0.743,0.532,0
MOB1A,0,0.318383287,0.733,0.51,0
NECTIN2,0,0.31767995,0.316,0.069,0
USP18,0,0.316615472,0.405,0.17,0
ADAR,0,0.314982307,0.704,0.439,0
HM13,0,0.314462534,0.426,0.212,0
CLIC1,0,0.313132832,0.977,0.93,0
CKAP4,0,0.312771646,0.262,0.032,0
C4orf3,0,0.312689791,0.799,0.62,0
GNA13,0,0.311960883,0.338,0.126,0
RBM47,0,0.31091948,0.429,0.276,0
TGFBI,7.35E-173,0.310592226,0.37,0.306,1.65E-168
RHOB,0,0.310517304,0.345,0.203,0
NFKBIZ,0,0.310108543,0.317,0.121,0
RBMS1,0,0.308092309,0.452,0.298,0
GNB2,0,0.307724622,0.81,0.583,0
CSTB,3.33E-82,0.307097371,0.954,0.955,7.48E-78
CD274,0,0.306420475,0.282,0.1,0
LILRB3,0,0.306191837,0.35,0.179,0
ADGRE5,0,0.302818925,0.431,0.301,0
GRINA,0,0.302789233,0.781,0.616,0
CBWD2,0,0.302662912,0.324,0.113,0
HSBP1,0,0.300958817,0.783,0.564,0
SERPINB9,0,0.299995367,0.256,0.062,0
ZC3HAV1,0,0.299415429,0.374,0.203,0
P2RX7,0,0.299044877,0.284,0.092,0
MAP3K8,0,0.298197982,0.317,0.125,0
TPM3,0,0.296853681,0.892,0.745,0
CREG1,0,0.296558368,0.617,0.479,0
MIR4435-2HG,0,0.295441931,0.285,0.102,0
CYTOR,0,0.294939393,0.329,0.143,0
IL10RA,0,0.29408967,0.394,0.208,0
UBE2J1,0,0.293575461,0.368,0.184,0
PPIB,0,0.293298727,0.847,0.684,0
CXCR4,1.74E-200,0.290248576,0.257,0.166,3.90E-196
TMEM50A,0,0.289956201,0.808,0.63,0
HSPD1,2.23E-32,0.289941996,0.358,0.352,5.00E-28
CAPN2,0,0.289889773,0.356,0.17,0
GRB2,0,0.289235339,0.8,0.635,0
CALM3,0,0.288550243,0.584,0.404,0
MT-ND5,4.40E-301,0.28837655,0.935,0.866,9.88E-297
TNFRSF1B,0,0.28829484,0.327,0.143,0
RGCC,9.73E-95,0.287944586,0.641,0.553,2.18E-90
PSME2,0,0.285754562,0.917,0.801,0
MYOF,0,0.28573996,0.34,0.167,0
SELL,0,0.285084503,0.241,0.064,0
PML,0,0.284603116,0.381,0.181,0
GALM,0,0.284216555,0.29,0.089,0
NADK,0,0.284191091,0.335,0.16,0
RHOA,0,0.284068561,0.955,0.875,0
MCUB,0,0.28284107,0.37,0.179,0
ATP2B1-AS1,0,0.282300945,0.245,0.069,0
RGS1,4.51E-225,0.28090294,0.201,0.107,1.01E-220
NT5C3A,0,0.279691603,0.568,0.366,0
ATG3,0,0.279411276,0.447,0.32,0
AREG,0,0.277276547,0.12,0.016,0
SERPINB1,6.59E-285,0.276989871,0.689,0.587,1.48E-280
ARF1,0,0.276815904,0.783,0.548,0
PHF11,0,0.275867914,0.419,0.237,0
TRIB1,0,0.274347184,0.245,0.057,0
LY6E,0,0.273837228,0.982,0.925,0
PTGER2,0,0.27307366,0.247,0.047,0
ATOX1,0,0.27297336,0.829,0.708,0
NBN,0,0.272176503,0.311,0.178,0
TMEM123,0,0.271878346,0.673,0.483,0
SEC61B,0,0.271092797,0.844,0.702,0
SNX6,0,0.269743908,0.503,0.364,0
METTL7B,0,0.269070652,0.135,0.004,0
HIST1H2AC,0,0.267466903,0.204,0.067,0
FGL2,0,0.267344203,0.299,0.112,0
UBE2B,0,0.266822694,0.516,0.402,0
NFE2L2,6.68E-283,0.266633391,0.452,0.351,1.50E-278
P2RX4,0,0.265421184,0.348,0.195,0
KLF10,0,0.265034663,0.258,0.101,0
FAM49B,0,0.26422109,0.519,0.386,0
XRN1,0,0.264126064,0.371,0.193,0
NMI,0,0.264019347,0.444,0.279,0
IL1B,2.15E-45,0.263559852,0.152,0.119,4.82E-41
FAM177A1,0,0.263277533,0.39,0.216,0
SRGAP2,0,0.262528823,0.268,0.071,0
OASL,0,0.262469705,0.747,0.46,0
EIF2AK2,0,0.262444101,0.619,0.4,0
SEC61G,0,0.262143974,0.837,0.707,0
TFEC,0,0.262033135,0.403,0.285,0
ANXA2R,0,0.260914678,0.197,0.06,0
FKBP4,2.26E-307,0.259198512,0.2,0.093,5.07E-303
ACOT9,0,0.258648253,0.324,0.145,0
CIR1,3.43E-102,0.2583574,0.356,0.305,7.71E-98
OAS1,0,0.257030783,0.813,0.5,0
UBALD2,0,0.256890439,0.314,0.139,0
SAMD9,0,0.255355639,0.464,0.281,0
MYADM,0,0.254397239,0.364,0.241,0
FPR2,0,0.25424168,0.223,0.063,0
LMNB1,0,0.253164415,0.244,0.063,0
PSMB3,0,0.252911518,0.796,0.648,0
ALDOA,0,0.252876295,0.832,0.495,0
DDIT3,1.71E-184,0.252713348,0.262,0.173,3.84E-180
RELB,0,0.252672595,0.275,0.061,0
ETS2,0,0.252094162,0.246,0.104,0
BAG3,0,0.252090751,0.119,0.032,0
DMXL2,0,0.251326409,0.325,0.186,0
ITGAX,4.83E-307,0.250806687,0.341,0.22,1.08E-302
FCER1G,5.58E-233,0.250171979,0.895,0.902,1.25E-228
CCNI,0,-0.251142372,0.576,0.677,0
CHURC1,0,-0.251562708,0.252,0.52,0
CD151,0,-0.252606105,0.202,0.45,0
FAM162A,0,-0.253250742,0.106,0.37,0
DNASE2,0,-0.255854158,0.16,0.404,0
GPRIN3,0,-0.256615014,0.102,0.348,0
BSG,0,-0.257248427,0.449,0.638,0
TMEM14C,0,-0.258502256,0.174,0.448,0
EIF3H,0,-0.261254685,0.348,0.609,0
SRP14,0,-0.261686655,0.925,0.971,0
YBX1,0,-0.262146793,0.944,0.971,0
COPS9,0,-0.262246569,0.328,0.569,0
ACOT7,0,-0.262866867,0.052,0.29,0
ZFAS1,0,-0.26527853,0.588,0.731,0
GSTP1,0,-0.268543252,0.773,0.91,0
CPVL,0,-0.269020345,0.173,0.409,0
C19orf70,0,-0.269616612,0.282,0.567,0
NDUFA2,0,-0.269664519,0.29,0.57,0
LAMP2,0,-0.269858066,0.333,0.583,0
NENF,0,-0.270117621,0.271,0.529,0
ACO1,0,-0.272058829,0.018,0.271,0
NEDD8,0,-0.272254009,0.621,0.774,0
LAMTOR2,0,-0.272907619,0.295,0.557,0
RMDN3,0,-0.274295735,0.116,0.362,0
RPS8,0,-0.274368066,0.991,0.999,0
NUCKS1,0,-0.27482688,0.207,0.491,0
CDC42,0,-0.275947744,0.783,0.843,0
ATP6AP2,0,-0.276627362,0.281,0.537,0
ATP5MG,0,-0.277288118,0.906,0.97,0
SPARC,0,-0.277406489,0.009,0.237,0
NDUFS5,0,-0.277618062,0.745,0.858,0
CTNNB1,0,-0.277871357,0.288,0.432,0
TCEAL4,0,-0.278190781,0.11,0.367,0
RPL29,0,-0.282127056,0.965,0.994,0
APIP,0,-0.282150717,0.126,0.4,0
DSTN,0,-0.282166046,0.196,0.487,0
DPEP2,0,-0.282179649,0.02,0.289,0
MIS18BP1,0,-0.282910946,0.108,0.367,0
TCEAL8,0,-0.284996525,0.062,0.332,0
RPS12,0,-0.286254342,0.995,0.999,0
PRSS21,0,-0.286397309,0.019,0.206,0
RPLP1,0,-0.286980079,0.999,1,0
PPT1,0,-0.288445186,0.354,0.611,0
LINC02154,0,-0.288624831,0.007,0.155,0
C6orf48,0,-0.28994765,0.083,0.336,0
REX1BD,0,-0.290204644,0.23,0.521,0
RPL19,0,-0.29096682,0.993,0.999,0
RPL4,0,-0.291969536,0.777,0.907,0
SERPINB6,0,-0.292736508,0.183,0.466,0
HP,0,-0.292937385,0.008,0.154,0
STMN1,0,-0.294517644,0.112,0.483,0
SMIM25,0,-0.297367345,0.584,0.722,0
IGFBP2,0,-0.297519154,0.078,0.217,0
C20orf27,0,-0.297595111,0.074,0.354,0
DECR1,0,-0.298225156,0.226,0.502,0
GMFG,0,-0.298949456,0.671,0.835,0
ATP5IF1,0,-0.299183746,0.342,0.641,0
FFAR4,0,-0.299311312,0.003,0.274,0
DST,0,-0.301163221,0.031,0.307,0
RACK1,0,-0.30169171,0.908,0.978,0
LRP1,0,-0.302713123,0.247,0.513,0
HDDC2,0,-0.303486358,0.089,0.381,0
ALDH1A1,0,-0.304089052,0.073,0.41,0
PPIC,0,-0.304090075,0.03,0.302,0
GAA,0,-0.304329837,0.192,0.457,0
RSL24D1,0,-0.304696579,0.2,0.498,0
PRDX1,0,-0.305377697,0.882,0.913,0
HEXA,0,-0.30583325,0.199,0.501,0
PSMA2,0,-0.306642955,0.125,0.386,0
PCOLCE2,0,-0.307267253,0.025,0.287,0
SVIL,0,-0.307670355,0.045,0.323,0
CTSC,0,-0.308991425,0.863,0.931,0
RPL6,0,-0.31239388,0.935,0.992,0
SMIM30,0,-0.313139275,0.099,0.368,0
RPS3A,0,-0.313607113,0.957,0.992,0
TNNI2,0,-0.317857243,0.037,0.319,0
DMAC1,0,-0.319440255,0.09,0.392,0
RPS3,0,-0.321160618,0.965,0.997,0
FOLR3,1.27E-178,-0.32242186,0.142,0.23,2.85E-174
MGST2,0,-0.322823964,0.079,0.388,0
DPYSL2,0,-0.327542422,0.124,0.411,0
EIF4A2,0,-0.327632314,0.307,0.623,0
MME,0,-0.329496825,0.011,0.292,0
PYCARD,0,-0.329855243,0.642,0.784,0
MT-ND2,0,-0.3315546,0.99,0.974,0
CITED2,0,-0.3328679,0.241,0.472,0
RPL22,0,-0.333251405,0.936,0.989,0
AGRP,0,-0.33367682,0.019,0.275,0
RTN3,0,-0.335895905,0.193,0.504,0
TUBA1B,0,-0.335918022,0.847,0.894,0
COMT,0,-0.336836151,0.463,0.617,0
RPS9,0,-0.337000433,0.975,0.995,0
NDUFC2,0,-0.338626764,0.111,0.401,0
PARAL1,0,-0.340165322,0.003,0.307,0
ATP5MPL,0,-0.341605284,0.777,0.877,0
HMGN3,0,-0.341749135,0.18,0.521,0
LSM6,0,-0.343077266,0.214,0.546,0
RPL35A,0,-0.344050022,0.98,0.996,0
N4BP2L2,0,-0.344612837,0.267,0.573,0
LPL,0,-0.345027567,0.024,0.312,0
TGOLN2,0,-0.345875037,0.236,0.544,0
CCDC88A,0,-0.348411148,0.305,0.602,0
RPL41,0,-0.349216886,1,1,0
UQCR11,0,-0.349482162,0.866,0.941,0
RPL14,0,-0.3504815,0.951,0.993,0
NAP1L1,0,-0.353192993,0.346,0.657,0
CYBA,0,-0.355550168,0.981,0.992,0
C9orf16,0,-0.355577123,0.449,0.707,0
GPD1,0,-0.355589328,0.002,0.287,0
SLCO2B1,0,-0.356227367,0.125,0.448,0
RPL5,0,-0.356354723,0.813,0.958,0
ABCG1,0,-0.358271152,0.097,0.4,0
COMMD6,0,-0.363091425,0.722,0.891,0
PNPLA6,0,-0.36453144,0.163,0.439,0
TIMP2,0,-0.366168586,0.297,0.579,0
11-Sep,0,-0.368132519,0.067,0.393,0
PTPMT1,0,-0.368573942,0.115,0.431,0
ABHD5,0,-0.368987447,0.094,0.398,0
SERPINA1,0,-0.369172922,0.796,0.849,0
ECH1,0,-0.370092664,0.152,0.505,0
PSAP,0,-0.375361867,0.918,0.94,0
PECAM1,0,-0.377656971,0.134,0.461,0
RPL12,0,-0.379436018,0.991,0.998,0
CXCL16,0,-0.380687242,0.653,0.774,0
SEC11A,0,-0.381402057,0.541,0.747,0
PHLDA3,0,-0.384072761,0.029,0.369,0
TGM2,0,-0.384112222,0.16,0.421,0
PTMS,0,-0.389888284,0.24,0.59,0
BHLHE41,0,-0.390358061,0.052,0.366,0
ELOB,0,-0.391929251,0.902,0.955,0
HSD17B11,0,-0.394346416,0.156,0.503,0
RPS15,0,-0.394757741,0.994,0.999,0
ATP5PO,0,-0.395880607,0.117,0.446,0
PDLIM1,0,-0.397015286,0.07,0.412,0
CCL5,0.819332396,-0.40478528,0.151,0.144,1
UQCRB,0,-0.405450276,0.799,0.925,0
SPN,0,-0.411339306,0.095,0.449,0
COX7C,0,-0.416130931,0.889,0.971,0
CD37,0,-0.41621802,0.628,0.834,0
CD302,0,-0.416335191,0.061,0.431,0
RPS15A,0,-0.42056246,0.982,0.999,0
GYPC,0,-0.420973163,0.254,0.612,0
TOMM7,0,-0.42592878,0.751,0.916,0
PSMA7,0,-0.426189965,0.87,0.931,0
DOK2,0,-0.426321673,0.172,0.556,0
NOP53,0,-0.427069196,0.247,0.625,0
RPS5,0,-0.430047738,0.884,0.987,0
CKLF,0,-0.432087256,0.218,0.594,0
SH3BGRL,0,-0.43229164,0.582,0.805,0
RPS16,0,-0.432644918,0.977,0.995,0
PLBD1,0,-0.433675234,0.19,0.518,0
FTL,0,-0.434421226,0.999,0.999,0
RPL18A,0,-0.434503989,0.975,0.997,0
TCF7L2,0,-0.435547579,0.073,0.42,0
CD81,0,-0.436368297,0.66,0.782,0
EEF1A1,0,-0.43704942,0.998,1,0
NDUFA4,0,-0.439621702,0.816,0.934,0
MT-CO3,3.05E-303,-0.439976694,0.991,0.989,6.84E-299
CAT,0,-0.440826015,0.079,0.473,0
RPL11,0,-0.443039212,0.992,0.999,0
LRPAP1,0,-0.444815666,0.41,0.712,0
RPL9,0,-0.445100554,0.965,0.994,0
CLEC12A,0,-0.445812388,0.113,0.487,0
TREM1,0,-0.448889921,0.296,0.625,0
NDUFB8,0,-0.452270612,0.06,0.428,0
RPS23,0,-0.452532079,0.985,0.998,0
SNHG25,0,-0.453403631,0.017,0.346,0
MDH1,0,-0.462894609,0.2,0.608,0
AC020656.1,0,-0.466151536,0.059,0.334,0
PPARG,0,-0.466665454,0.106,0.469,0
C1orf162,0,-0.467154089,0.612,0.799,0
LIPA,0,-0.467355647,0.271,0.524,0
TKT,0,-0.467641619,0.431,0.696,0
RPL32,0,-0.468764284,0.993,0.999,0
LY86,0,-0.471865721,0.12,0.505,0
APOC2,0,-0.472581709,0.037,0.187,0
PLD3,0,-0.473922835,0.447,0.642,0
AXL,0,-0.479273427,0.052,0.458,0
RPL13,0,-0.479358828,0.989,0.999,0
LDHB,0,-0.482128604,0.201,0.633,0
SCP2,0,-0.484121431,0.178,0.605,0
EVI2B,0,-0.487247367,0.18,0.54,0
AKR1B1,0,-0.487745688,0.1,0.502,0
TYROBP,0,-0.490863087,0.895,0.914,0
ARL6IP1,0,-0.500480485,0.258,0.611,0
NDUFA11,0,-0.503622638,0.132,0.515,0
UBA52,0,-0.505342631,0.971,0.996,0
TREM2,0,-0.507432665,0.108,0.474,0
RPS4X,0,-0.507512588,0.906,0.994,0
HNMT,0,-0.513548295,0.192,0.61,0
RPS27A,0,-0.517296641,0.983,0.998,0
CAPG,0,-0.518994722,0.803,0.905,0
VMO1,0,-0.522267434,0.062,0.48,0
NDUFA13,0,-0.523346333,0.438,0.746,0
EVL,0,-0.524640054,0.23,0.626,0
PEBP1,0,-0.525962636,0.242,0.69,0
LGALS3BP,0,-0.532759974,0.56,0.77,0
