Genes,p_val,avg_logFC,pct.1,pct.2,p_val_adj
PTPRCAP,0,-0.306345001,0.278,0.511,0
HLA-C,0,-0.30667704,0.876,0.943,0
AHNAK,1.24E-248,-0.307180076,0.826,0.888,3.26E-244
EIF4B,0,-0.30835502,0.369,0.613,0
GNB2L1,0,-0.309297813,0.739,0.854,0
RPLP0,3.35E-303,-0.310323962,0.573,0.749,8.84E-299
RPS27A,0,-0.311022642,0.568,0.741,0
EEF2,0,-0.311617129,0.747,0.87,0
MT-ND1,0,-0.314719928,0.855,0.932,0
RUNX3,0,-0.325440732,0.219,0.447,0
RPL10,0,-0.329407572,0.468,0.678,0
RPSAP58,0,-0.32952789,0.378,0.61,0
EEF1A1,0,-0.336580877,0.899,0.963,0
GLTSCR2,0,-0.345880712,0.442,0.677,0
PRF1,5.30E-231,-0.351040277,0.233,0.422,1.40E-226
HLA-E,0,-0.352018446,0.942,0.982,0
RPS18,0,-0.352121808,0.743,0.855,0
RPL7,0,-0.354518579,0.528,0.736,0
MACF1,3.96E-299,-0.355922114,0.549,0.721,1.04E-294
CD247,0,-0.355983381,0.192,0.418,0
IL7R,1.09E-115,-0.358407212,0.185,0.298,2.88E-111
RPL5,0,-0.358646072,0.565,0.772,0
RPL4,0,-0.363040135,0.75,0.881,0
RPL18,0,-0.366500314,0.762,0.883,0
RPL13,0,-0.375307431,0.784,0.9,0
TRBC2,0,-0.377216222,0.272,0.518,0
FGFBP2,2.66E-305,-0.393306425,0.147,0.34,7.01E-301
JAK1,0,-0.393517746,0.477,0.689,0
FCGR3A,4.44E-195,-0.401105317,0.247,0.408,1.17E-190
RPS3A,0,-0.40403745,0.483,0.73,0
RPS5,0,-0.413691661,0.559,0.768,0
RPL13A,0,-0.424405228,0.785,0.906,0
RPS14,0,-0.437382026,0.829,0.936,0
CCL5,8.81E-266,-0.437865883,0.256,0.446,2.32E-261
MT-ND5,0,-0.449164247,0.766,0.922,0
RPS2,0,-0.455965434,0.745,0.896,0
ARL4C,0,-0.457996023,0.304,0.571,0
ETS1,0,-0.463652865,0.39,0.677,0
SYNE1,0,-0.467731624,0.338,0.562,0
SYNE2,0,-0.471823825,0.39,0.617,0
RPS6,0,-0.482755308,0.87,0.958,0
MT-CO3,0,-0.484234573,0.82,0.958,0
MT-CO2,0,-0.507407851,0.86,0.974,0
RPS4X,0,-0.521440411,0.692,0.892,0
RPS3,0,-0.526738242,0.768,0.923,0
MT-ND6,0,-0.537038765,0.549,0.831,0
RPL3,0,-0.601349234,0.796,0.952,0
MT-ND4,0,-0.615156113,0.901,0.988,0
MT-ATP6,0,-0.648605581,0.878,0.987,0
MT-CO1,0,-0.666288989,0.942,0.996,0
MT-CYB,0,-0.670469924,0.747,0.956,0
GNLY,0,-0.704533111,0.227,0.459,0
